dist_post_codec,filter,timeclipping,wbgn,p50mnru,bgn,bgn_file,clipping,arb_filter,asl_in,asl_out,codec1,codec2,codec3,plcMode1,plcMode2,plcMode3,wbgn_snr,bgn_snr,tc_fer,tc_nburst,cl_th,bp_low,bp_high,p50_q,bMode1,bMode2,bMode3,FER1,FER2,FER3,asl_in_level,asl_out_level,con
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-,bandpass,-,-,-,-,-,-,-,-,-,evs,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-,bandpass,-,-,-,-,-,-,-,-,-,evs,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-,bandpass,-,-,-,-,-,-,-,-,-,evs,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-,bandpass,-,-,-,-,-,-,-,-,-,evs,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-,bandpass,-,-,-,-,-,-,-,-,-,evs,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-,bandpass,-,-,-,-,-,-,-,-,-,evs,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-,bandpass,-,-,-,-,-,-,-,-,-,amrwb,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,100,7000,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-,bandpass,-,-,-,-,-,-,-,-,-,amrwb,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,100,7000,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9
-,bandpass,-,-,-,-,-,-,-,-,-,amrwb,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,100,7000,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10
-,bandpass,-,-,-,-,-,-,-,-,-,g722,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,100,7000,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11
-,bandpass,-,-,-,-,-,-,-,-,-,g722,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,100,7000,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,noloss,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19
-,bandpass,-,-,-,-,-,-,-,-,-,evs,opus,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,8,32,NaN,NaN,NaN,NaN,NaN,NaN,20
-,bandpass,-,-,-,-,-,-,-,-,-,evs,opus,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,7,32,NaN,NaN,NaN,NaN,NaN,NaN,21
-,bandpass,-,-,-,-,-,-,-,-,-,evs,opus,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,6,32,NaN,NaN,NaN,NaN,NaN,NaN,22
-,bandpass,-,-,-,-,-,-,-,-,-,evs,opus,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,5,32,NaN,NaN,NaN,NaN,NaN,NaN,23
-,bandpass,-,-,-,-,-,-,-,-,-,evs,opus,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,4,32,NaN,NaN,NaN,NaN,NaN,NaN,24
-,bandpass,-,-,-,-,-,-,-,-,-,opus,evs,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,32,8,NaN,NaN,NaN,NaN,NaN,NaN,25
-,bandpass,-,-,-,-,-,-,-,-,-,opus,evs,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,32,7,NaN,NaN,NaN,NaN,NaN,NaN,26
-,bandpass,-,-,-,-,-,-,-,-,-,opus,evs,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,32,6,NaN,NaN,NaN,NaN,NaN,NaN,27
-,bandpass,-,-,-,-,-,-,-,-,-,opus,evs,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,32,5,NaN,NaN,NaN,NaN,NaN,NaN,28
-,bandpass,-,-,-,-,-,-,-,-,-,opus,evs,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,32,4,NaN,NaN,NaN,NaN,NaN,NaN,29
-,-,-,-,-,-,-,-,-,-,-,opus,opus,-,-,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,32,NaN,NaN,NaN,NaN,NaN,NaN,30
-,-,-,-,-,-,-,-,-,-,-,opus,opus,opus,-,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,32,32,NaN,NaN,NaN,NaN,NaN,31
-,bandpass,-,-,-,-,-,-,-,-,-,evs,opus,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,8,13.2,NaN,NaN,NaN,NaN,NaN,NaN,32
-,bandpass,-,-,-,-,-,-,-,-,-,evs,opus,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,7,13.2,NaN,NaN,NaN,NaN,NaN,NaN,33
-,bandpass,-,-,-,-,-,-,-,-,-,evs,opus,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,6,13.2,NaN,NaN,NaN,NaN,NaN,NaN,34
-,bandpass,-,-,-,-,-,-,-,-,-,evs,opus,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,5,13.2,NaN,NaN,NaN,NaN,NaN,NaN,35
-,bandpass,-,-,-,-,-,-,-,-,-,evs,opus,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,4,13.2,NaN,NaN,NaN,NaN,NaN,NaN,36
-,bandpass,-,-,-,-,-,-,-,-,-,opus,evs,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,13.2,8,NaN,NaN,NaN,NaN,NaN,NaN,37
-,bandpass,-,-,-,-,-,-,-,-,-,opus,evs,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,13.2,7,NaN,NaN,NaN,NaN,NaN,NaN,38
-,bandpass,-,-,-,-,-,-,-,-,-,opus,evs,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,13.2,6,NaN,NaN,NaN,NaN,NaN,NaN,39
-,bandpass,-,-,-,-,-,-,-,-,-,opus,evs,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,13.2,5,NaN,NaN,NaN,NaN,NaN,NaN,40
-,bandpass,-,-,-,-,-,-,-,-,-,opus,evs,-,-,-,-,NaN,NaN,NaN,NaN,NaN,50,14000,NaN,13.2,4,NaN,NaN,NaN,NaN,NaN,NaN,41
-,-,-,-,-,-,-,-,-,-,-,opus,opus,-,-,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2,13.2,NaN,NaN,NaN,NaN,NaN,NaN,42
-,-,-,-,-,-,-,-,-,-,-,opus,opus,opus,-,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2,13.2,13.2,NaN,NaN,NaN,NaN,NaN,43
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2,NaN,NaN,0.03,NaN,NaN,NaN,NaN,44
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.4,NaN,NaN,0.03,NaN,NaN,NaN,NaN,45
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.4,NaN,NaN,0.03,NaN,NaN,NaN,NaN,46
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,NaN,NaN,0.03,NaN,NaN,NaN,NaN,47
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48,NaN,NaN,0.03,NaN,NaN,NaN,NaN,48
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2,NaN,NaN,0.1,NaN,NaN,NaN,NaN,49
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.4,NaN,NaN,0.1,NaN,NaN,NaN,NaN,50
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.4,NaN,NaN,0.1,NaN,NaN,NaN,NaN,51
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,NaN,NaN,0.1,NaN,NaN,NaN,NaN,52
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48,NaN,NaN,0.1,NaN,NaN,NaN,NaN,53
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2,NaN,NaN,0.2,NaN,NaN,NaN,NaN,54
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.4,NaN,NaN,0.2,NaN,NaN,NaN,NaN,55
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.4,NaN,NaN,0.2,NaN,NaN,NaN,NaN,56
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,NaN,NaN,0.2,NaN,NaN,NaN,NaN,57
-,-,-,-,-,-,-,-,-,-,-,opus,-,-,bursty,-,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48,NaN,NaN,0.2,NaN,NaN,NaN,NaN,58
